,,,0
0,0,n,1308.5208333333333
0,2,n,1112.2648380915418
0,4,n,984.1585572922277
0,6,n,858.3610558915576
0,8,n,510.26625480518214
1,0,n,184.4373887608373
1,2,n,116.64910704703304
1,4,n,106.34707547310363
1,6,n,96.017644840182
1,8,n,97.36119368284385
2,0,n,118.08794121482863
2,2,n,106.9909112287669
2,4,n,103.40459382265946
2,6,n,98.77897551112648
2,8,n,97.65372657844625
3,0,n,112.10239374097465
3,2,n,114.01083380466459
3,4,n,104.14865298922881
3,6,n,94.81762075470321
3,8,n,93.63799065145906
4,0,n,122.06117542572706
4,2,n,185.16015870285187
4,4,n,106.73938215744856
4,6,n,94.7370641864942
4,8,n,93.64419409476488
5,0,n,131.70835478301925
5,2,n,110.86738835088467
5,4,n,97.82432165157961
5,6,n,93.64441534606357
5,8,n,100.53668102727401
6,0,n,127.31770192764297
6,2,n,121.95903723393837
6,4,n,100.72795174698616
6,6,n,107.1664254633376
6,8,n,106.6947212699386
7,0,n,120.60414370247445
7,2,n,122.68482086052131
7,4,n,118.03659449063419
7,6,n,154.98169221171315
7,8,n,169.60014883583233
8,0,n,121.2853840904778
8,2,n,122.42163487585407
8,4,n,119.53249594735314
8,6,n,184.78801441931498
8,8,n,112.16166682722921
9,0,n,123.75312725013089
9,2,n,121.91756449665273
9,4,n,135.02576799906296
9,6,n,162.17572328068476
9,8,n,103.81312078782936
0,0,c,178.45655356220027
0,2,c,129.70175393813213
0,4,c,101.4151600411396
0,6,c,67.27660753292999
0,8,c,59.43719797160764
1,0,c,75.4321138722647
1,2,c,71.08821308903569
1,4,c,64.02201304232541
1,6,c,57.41661752828119
1,8,c,57.898564039596955
2,0,c,70.9130521318144
2,2,c,83.13771431154379
2,4,c,86.70128218279426
2,6,c,59.97409063269177
2,8,c,56.713866247409534
3,0,c,70.34354706378646
3,2,c,91.32402719414752
3,4,c,99.1806268938682
3,6,c,58.36105173857595
3,8,c,61.24461043684577
4,0,c,71.44096192048961
4,2,c,96.20040017576565
4,4,c,72.6735692776373
4,6,c,61.82476785549992
4,8,c,64.37822805249874
5,0,c,74.65138198935097
5,2,c,99.51901883453054
5,4,c,62.014287923926624
5,6,c,56.30270229644674
5,8,c,63.75937016581249
6,0,c,61.08365001708351
6,2,c,62.43975896663651
6,4,c,79.0762117666213
6,6,c,68.09252068092479
6,8,c,124.72323417053038
7,0,c,56.92352451936125
7,2,c,61.184395677634775
7,4,c,76.26619018563552
7,6,c,102.29599917082123
7,8,c,134.8897701380113
8,0,c,57.09260857835761
8,2,c,84.13228736450175
8,4,c,144.73468870292686
8,6,c,107.89011530693358
8,8,c,148.376568556438
9,0,c,57.266522368138595
9,2,c,77.98478530734842
9,4,c,104.85098721340346
9,6,c,125.04827919789473
9,8,c,141.64652156305158
0,0,t,840.6340388210368
0,2,t,365.38752573095377
0,4,t,167.64764669340437
0,6,t,183.41591271178706
0,8,t,78.64356503904577
1,0,t,365.6542756877088
1,2,t,296.23236415617106
1,4,t,328.2237241293784
1,6,t,272.75650511189014
1,8,t,149.3991281768049
2,0,t,289.77317327295646
2,2,t,316.3413166925283
2,4,t,282.9421501050981
2,6,t,366.02129052926625
2,8,t,366.02129052926625
3,0,t,279.47512927647693
3,2,t,289.4501928878196
3,4,t,303.18782977670486
3,6,t,303.18782977670486
3,8,t,282.78274662905585
4,0,t,283.39022211733567
4,2,t,296.7088069328924
4,4,t,307.1854851020919
4,6,t,307.1854851020919
4,8,t,371.2327129955361
5,0,t,285.10838881797446
5,2,t,277.487456800125
5,4,t,267.84603602230476
5,6,t,267.84603602230476
5,8,t,134.63362803916198
6,0,t,257.2642221310985
6,2,t,282.4043106854294
6,4,t,282.5784162070228
6,6,t,287.0878796178195
6,8,t,139.42540111284265
7,0,t,245.79232498339024
7,2,t,252.6766567275215
7,4,t,280.7927404737805
7,6,t,280.7927404737805
7,8,t,280.7927404737805
8,0,t,315.3139170640236
8,2,t,325.3561967297708
8,4,t,292.82414152814454
8,6,t,292.82414152814454
8,8,t,292.82414152814454
9,0,t,339.1651688061856
9,2,t,256.37740802273635
9,4,t,306.02613084530975
9,6,t,11236.270110570802
9,8,t,177291.7960728676
0,0,ct,429.0128801735531
0,2,ct,436.46311086148444
0,4,ct,452.1410169143046
0,6,ct,272.34826231896096
0,8,ct,222.63543680669162
1,0,ct,415.33393744238373
1,2,ct,300.8484574691657
1,4,ct,263.8448384366307
1,6,ct,271.32931168325166
1,8,ct,215.79312442425737
2,0,ct,326.5457372462435
2,2,ct,257.16381627933714
2,4,ct,272.29295037793395
2,6,ct,231.7986723886645
2,8,ct,231.67733908046748
3,0,ct,301.18318797910223
3,2,ct,259.20782712124156
3,4,ct,279.6949288218751
3,6,ct,226.31119600566237
3,8,ct,283.9118376331988
4,0,ct,300.91162954646524
4,2,ct,323.0248355394538
4,4,ct,282.4819132264395
4,6,ct,275.01156539770005
4,8,ct,277.4270386315878
5,0,ct,298.84170543091676
5,2,ct,326.3631306633076
5,4,ct,224.38185293432988
5,6,ct,297.59647964539585
5,8,ct,363.50510914207825
6,0,ct,266.24600878734617
6,2,ct,285.0943196365281
6,4,ct,235.7442989700149
6,6,ct,267.2114767819074
6,8,ct,354.47981568557424
7,0,ct,240.0265508849984
7,2,ct,311.78393177997236
7,4,ct,229.34874242591783
7,6,ct,353.43481510687644
7,8,ct,335.9771414462826
8,0,ct,305.32893465641297
8,2,ct,324.69089805368577
8,4,ct,349.0800525676115
8,6,ct,335.2166440405917
8,8,ct,297.78133206194326
9,0,ct,328.0268413434085
9,2,ct,309.3829843930721
9,4,ct,310.51943937662026
9,6,ct,350.04627746373234
9,8,ct,306.90935292505804
